::ffff:192.168.20.2 - - [18/Dec/2022:04:58:01 +0000] "GET /api/v1/projects HTTP/1.1" 200 2369 "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:04:58:05 +0000] "GET /api/v1/buildings HTTP/1.1" 200 1169 "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:04:58:08 +0000] "GET /api/v1/units HTTP/1.1" 200 11403 "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:04:58:14 +0000] "GET /api/v1/units/6393e8ee2881c716d3a291e0 HTTP/1.1" 200 2221 "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.2 - - [18/Dec/2022:05:02:11 +0000] "GET /api/v1/units/6393e8ee2881c716d3a291e0 HTTP/1.1" 304 - "-" "Expo/2.26.4.1016582 CFNetwork/1390 Darwin/22.0.0"
::ffff:192.168.20.4 - - [18/Dec/2022:05:03:14 +0000] "GET /api/v1/buildings HTTP/1.1" 200 1169 "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:05:03:18 +0000] "GET /api/v1/units HTTP/1.1" 200 11403 "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:05:03:22 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 200 2215 "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:03:48 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:03:50 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:03:54 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:04:32 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:04:34 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:07:51 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:07:53 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:07:55 +0000] "GET /api/v1/units/6393e8ee2881c716d3a291e0 HTTP/1.1" 200 2221 "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:09:05 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:09:07 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:09:10 +0000] "GET /api/v1/units/6393e8ee2881c716d3a291e0 HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [18/Dec/2022:08:13:32 +0000] "GET /api/v1/units/6393e8d92881c716d3a29198 HTTP/1.1" 200 2215 "-" "PostmanRuntime/7.29.2"
::ffff:192.168.20.4 - - [18/Dec/2022:08:16:33 +0000] "GET /api/v1/buildings HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:192.168.20.4 - - [18/Dec/2022:08:16:36 +0000] "GET /api/v1/units HTTP/1.1" 304 - "http://localhost:19006/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
